code;name;cost_max;unit;current_stock;dpto_code;orden;cost_oferta;cost_mayor;cost_min
BA-045;BOMBILLO LED SOFITO TECHO T11X39 AZUL 3L (17622);8.596,000;PAR;0;AUTO.05;1;0,000;0,000;0,000
BA-046;BOMBILLO 7443 2C 12V 21W STOP 179193 (17509);10.027,000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BA-047;BOMBILLO 57 1C 12V 3W (E) (17045);;PZA;0;AUTO.05;1;0,000;0,000;0,000
BA-048;BOMBILLO 3156 1 12V AMBAR (17009);1.627,000;PZA;2;AUTO.05;1;0,000;0,000;0,000
BA-049;BOMBILLO 67 12V AZUL (E) (17292);405.000;PZA;40;AUTO.05;1;0,000;0,000;0,000
BA-050;BOMBILLO 67 12V ROJO (E) (17293);3.027,000;PZA;29;AUTO.05;1;0,000;0,000;0,000
BA-051;BOMBILLO 67 12V AMBAR (E) (18130);561.000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BA-052;BOMBILLO 3157 2C 12V AMBAR;7.128,000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BA-053;BOMBILLO 53 1C 3W F1 RACING;;PZA;0;AUTO.05;1;0,000;0,000;0,000
BA-054;BOMBILLO HALOG 880 12V 27W;3.168,000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BA-055;BOMBILLO 9007 60/55W 12V;3.867,000;PZA;50;AUTO.05;1;0,000;0,000;0,000
BA-056;BOMBILLO 2 CONTACTO MUELA GRANDE T20 AMBAR 12V (FS-DP202);1.347,000;PZA;1;AUTO.05;1;0,000;0,000;0,000
BA-057;BOMBILLO HALOGENO H10 100W 12V;3.627,000;PZA;80;AUTO.05;1;0,000;0,000;0,000
BA-058;BOMBILLO 1 CONTACTO MUELA GRANDE T20 AMBAR 12V;1.424,000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BA-059;BOMBILLO HALOGENO H16 100W 12V (SY-H16);3.173,000;PZA;10;AUTO.05;1;0,000;0,000;0,000
BA-06;BOMBILLO LUZ DE TECHO TIPO PLA (REF 6LED-DOME-20X25-B F1 (BOM17650;4.224,000;PZA;-5;AUTO.05;1;0,000;0,000;0,000
BA-060;BOMBILLO HALOGENO H11 55W 12V;1.964,000;PZA;730;AUTO.05;1;0,000;1.709,000;0,000
BA-061;BOMBILLO SOFITO TECHO 10X36 12V;;PZA;20;AUTO.05;1;0,000;0,000;0,000
BA-062;BOMBILLO HALOGENO H4 100/90 WATS 24V;2.307,000;PZA;40;AUTO.05;1;0,000;0,000;0,000
BA-063;BOMBILLO MUELA GRANDE 1 CONTACTO 12V T20;1.587,000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BA-064;BOMBILLO 12V 1157 2C LEDX12 VERDE (2064-GN);11.817,000;PZA;20;AUTO.05;1;0,000;0,000;0,000
BA-065;BOMBILLO 12V T20 1C LEDX13 TIPO TORRE AZUL (2076-BU);11.817,000;PZA;50;AUTO.05;1;0,000;0,000;0,000
BA-066;BOMBILLO 12V 1157 2C LEDX19 (AC-1031);7.092,000;PZA;100;AUTO.05;1;0,000;0,000;0,000
BA-067;BOMBILLO 12V 1157 2C LEDX12 ROJO (AG-0080-2R);7.092,000;PAR;20;AUTO.05;1;0,000;0,000;0,000
BA-068;BOMBILLO 12V 1157 2C LEDX12 AZUL (SY-12L2CBL);7.092,000;PAR;20;AUTO.05;1;0,000;0,000;0,000
BA-069;BOMBILLO 12V 1156 1C LEDX12 AZUL (SY-12LCBL);7.092,000;PAR;20;AUTO.05;1;0,000;0,000;0,000
BA-07;BOMBILLO LUZ DE TECHO TIPO PLA (REF 9LED-DOME-27X27-B F1 (BOM-17654;7.304,000;PZA;8;AUTO.05;1;0,000;0,000;0,000
BA-070;BOMBILLO 12V 1156 1C LEDX12 BLANCO (SY-12L1CWH);7.092,000;PAR;20;AUTO.05;1;0,000;0,000;0,000
BA-071;BOMBILLO 12V T20 1C LEDX9 MUELA GRANDE BLANCO (A-T209L);4.335,000;PAR;28;AUTO.05;1;0,000;0,000;0,000
BA-072;BOMBILLO 12V 3156 1C LEDX22 BLANCO (YU-3156-22LWH);4.729,000;PAR;0;AUTO.05;1;0,000;0,000;0,000
BA-073;BOMBILLO 12V 3156 1C LEDX22 RED (YU-3156-22LERED);4.729,000;PAR;0;AUTO.05;1;0,000;0,000;0,000
BA-074;BOMBILLO 12V 3156 1C LEDX22 AMARRILLO (YU-3156-22LYE);4.729,000;PAR;20;AUTO.05;1;0,000;0,000;0,000
BA-075;BOMBILLO 12V T20 2C LEDX9 MUELA GRANDE AMARILLO (A-T2092Y);5.123,000;PAR;100;AUTO.05;1;0,000;0,000;0,000
BA-076;BOMBILLO 12V 1156 1C LEDX12 ROJO (SY-12L1CRD);8.296,000;PAR;18;AUTO.05;1;0,000;0,000;0,000
BA-077;BOMBILLO 12V T20 2C LEDX9 MUELA GRANDE BLANCO (A-T209L2C);4.729,000;PAR;130;AUTO.05;1;0,000;0,000;0,000
BA-078;BOMBILLO 57 24V 1 CONTACTO;387.000;PZA;1;AUTO.05;1;0,000;0,000;0,000
BA-079;BOMBILLO MUELA 1 CONTACTO (912)(906)T15;221.000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BA-08;BOMBILLO 73 MINI MUELA 24V TAB 73-24V (BOM-17127);144.000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BA-080;BOMBILLO HALOGENO H3 12V 55W;;PZA;520;AUTO.05;1;0,000;;0,000
BA-081;BOMBILLO 1372 12V 3W TIPO BALA (18132);279.000;PZA;80;AUTO.05;1;0,000;0,000;0,000
BA-082;BOMBILLO H3 24V 55W;45.689,000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BA-09;BOMBILLO 87 1C 24V 67-24V (BOM-17171);256.000;PZA;-15;AUTO.05;1;0,000;0,000;0,000
BA-10;BOMBILLO AUTO 1034 2 CONTACTOS 12V ROJO (1034-RED);624.000;PZA;349;AUTO.05;1;0,000;0,000;0,000
BA-11;BOMNILLO HALOGENO H1-55W R H1 12V 55W (H1);1.737,000;PZA;958;AUTO.05;1;0,000;1.559,000;0,000
BA-12;BOMBILLO 12V 1034 (1157) 12LED SUPER BLANCO (BLISTER PAR) (SY-12L2CWH);5.833,000;PAR;30;AUTO.05;1;0,000;0,000;0,000
BA-13;BOMBILLO TABLERO 73 12V 2W -T5 R MINI MUELITA TIPO BALITA AMBAR ( 73-AMBAR);192.000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BA-14;BOMBILLO HALOGENO H7 24V 100W 8 BOM-17197);45.875,000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BA-15;BOMBILLO LED 158 T10 12V BALNCO CABEZA CONCAVA;1.167,000;PZA;10;AUTO.05;1;0,000;0,000;0,000
BA-15-G;BOMBILLO 12V MUELITA 158 T10 GEL LED BLANCO (YU-GED-WH);4.173,000;PAR;1;AUTO.05;1;0,000;0,000;0,000
BB-01;BOMBILLO AUTOMOTRIZ 1034 2 CONTACTO SC 12V 25W;;PZA;2146;AUTO.05;1;0,000;399.000;0,000
BC-01;BOMBILLO DE HALOGENO P43T H4 60/55 W;45.749,000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BC-02;BOMBILLO DE HALOGENO P43T 100/90 W;0,000;PZA;10;AUTO.05;1;0,000;0,000;0,000
BC-03;BOMBILLO DE HALOGENO P43T H4 130/90 W;3.744,000;PZA;-8;AUTO.05;1;0,000;0,000;0,000
BC-04;BOMBILLO DE HALOGENO XENON 100/90 W P43;0,000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BC-05;BOMBILLO DE HALOGENO H11 100W 12V;4.704,000;PZA;5;AUTO.05;1;0,000;0,000;0,000
BC-06;BOMBILLO DE HALOGENO H12 55W 12V;2.947,000;PZA;500;AUTO.05;1;0,000;0,000;0,000
BC-07;BOMBILLO DE HALOGENO H13 100W 12V;;PZA;0;AUTO.05;1;0,000;0,000;0,000
BD-01;BOMBILLO DE HALOGENO H4-P45T 60/55 W 12V;;PZA;6;AUTO.05;1;0,000;0,000;0,000
BD-02;BOMBILLO DE HALOGENO P43T 100/90 W;0,000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BD-03;BOMBILLO DE HALOGENO P45T 130/90 W;0,000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BD-04;BOMBILLO DE HALOGENO XENON 100/90 W P45;0,000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BD-05;BOMBILLO HALOGENO 9005 65W 12V XENON;0,000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BD-06;BOMBILLO HALOGENO 9006 80W 12V XENON;0,000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BD-07;BOMBILLO HALOGENO 9007 80W 12V XENON;0,000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BD-08;BOMBILLO HALOGENO H7 55W 12V;1.627,000;PZA;264;AUTO.05;1;0,000;0,000;0,000
BD-09;BOMBILLO XENON H7 55W;0,000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BD-10;BOMBILLO DE HALOGENO P45T-H7 100 W;;PZA;940;AUTO.05;1;0,000;1.671,000;0,000
BD-11;BOMBILLO HALOGENO H13 55W 12V;15.916,000;PZA;8;AUTO.05;1;0,000;0,000;0,000
BD-12;BOMBILLO HALOGENO 9004 130-100W 12V;4.176,000;PZA;6;AUTO.05;1;0,000;0,000;0,000
BD-13;BOMBILLO HALOGENO 9005 130W 12V;3.248,000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BD-14;BOMBILLO HALOGENO 9006 55W 12V;3.107,000;PZA;50;AUTO.05;1;0,000;0,000;0,000
BD-15;BOMBILLO HALOGENO 9007 130W 12V;;PZA;24;AUTO.05;1;0,000;0,000;0,000
BD-16;BOMBILLO HALOGENO H3 12V 100W;1.296,000;PZA;1059;AUTO.05;1;0,000;0,000;0,000
BD-17;BOMBILLO HALOGENO 9005 55/45W 12V;4.068,000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BD-18;&&&& inactivo!!!!!!! BOMBILLO HALOGENO 9005 H6 55/45W 12V GRAND BLAZER;0,000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BD-19;BOMBILLO HALOGENO H4 P45-24V 70W;1.152,000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BE-01;BOMBILLO AUTOMOTRIZ 158 T10 12V;73.000;PZA;4014;AUTO.05;1;0,000;0,000;0,000
BE-02;BOMBILLO Nro. 158 24V;257.000;PZA;4;AUTO.05;1;0,000;0,000;0,000
BE-03;BOMBILLO AUTOMOTRIZ 67 12V 25 W;387.000;PZA;0;AUTO.05;1;0,000;213.000;0,000
BE-04;BOMBILLO MUELA GRANDE 2 CONTACTO 12V (T20);1.141,000;PZA;80;AUTO.05;1;0,000;0,000;0,000
BE-05;BOMBILLO MUELA 158 T10 LED CABEZA CONCAVA;128.000;PZA;10;AUTO.05;1;0,000;0,000;0,000
BE-06;BOMBILLO LED VERDE 158 (PAR);1.081,000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BF-01;BOMBILLO METAL HILIGHT 400 WATTS 220V;0,000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BF-02;TUBO FLUOSRECENTE T8 36 WATTIOS MARCA HEA LIGTH;0,000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BF-03;SOCATE FLUOR PRESION TUBO LARGO;0,000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BG-01;BOMBILLO AHORRADOR ESPIRAL 26 WATTIOS;0,000;PZA;0;AUTO.05;1;0,000;0,000;0,000
BH-01;BOMBILLO AUTOMOTRIZ 1 CONTACTO 3156 12V;2.276,000;PZA;1090;AUTO.05;1;0,000;1.519,000;0,000
BI-01;BOMBILLO AUTOMOTRIZ 2 CONTACTO 3157 12V;1.669,000;PZA;281;AUTO.05;1;0,000;0,000;0,000
CA-01;CARBON PARA ARRANQUE SPIRIT/LEBAR/SERI CHRYSLER;0,000;PZA;0;AUTO.08;1;0,000;0,000;0,000
