code;name;cost_max;unit;current_stock;dpto_code;orden;cost_oferta;cost_mayor;cost_min
GA003-28;CONECTOR ELEC/VENT AUXILIAR SISTEMA;1.966;PZA;0;AUTO.06;1;0;0;0
GA003-29;CONECTOR ELECTROVENTILADOR AUXILIAR SISTEM ADE ENFRIAMIENTO HEMBRA VOLKSWAGEN;2.16;PZA;0;AUTO.06;1;0;0;0
GA003-30;(GAH02-28) CONECTOR PARA BOMBILLO H11;4.02;PZA;0;AUTO.06;1;0;0;0
GA003-31;CONECTOR BOBINA AVEO C-240;0;PZA;0;AUTO.06;1;0;0;0
GA003-32;CONECTOR MODULO FORD 3 CABLES;2.16;PZA;0;AUTO.06;1;0;0;0
GA003-33;CONECTOR PORTA BOMBILLO 9008/H13 CERAMICA;3.33;PZA;82;AUTO.06;1;0;2.68;0
GA003-34;CONECTOR DISTRIBUIDOR COROLLA INYECTA C-749;2.506;PZA;0;AUTO.06;1;0;0;0
GA003-35;CONECTOR SENSOR DISTANCIA CIELO/RACER C-7031;3.024;PZA;0;AUTO.06;1;0;0;0
GA003-36;CONECTOR P/CIGÜEÑAL STEEM GRAND VIT C-7033;2.117;PZA;0;AUTO.06;1;0;0;0
GA003-37;CONECTOR ELECTRO VENTILADOR STEEM C-740;1.92;PZA;0;AUTO.06;1;0;0;0
GA003-38;CONECTOR 3 VIAS IAC HYUNDAI ACCENT GETZ ELANTRA TUCSON KIA RIO;1.63;PZA;158;AUTO.06;1;0;1.44;0
GA003-39;CONECTOR BOBINA CHEVROLET STEEM GRAND VITARA JIMMY;1.26;PZA;114;AUTO.06;1;0;1.05;0
GA003-40;SOCATE PORTABOMBILLO 2 CONTACTOS ( SC-141/200);1.82;PZA;0;AUTO.06;1;0;0;0
GA003-41;CONECTOR DE SENSOR TPS FORD EXPLORER AÑOS 98 AL 05;3.304;PZA;2;AUTO.06;1;0;0;0
GA004-01;CONECTOR RELAY AIRE ACONDICIONADO G.M.;4.32;PZA;16;AUTO.06;1;0;0;0
GA004-02;CONECTOR REGULADOR DE FORD NEGRO;1.75;PZA;2;AUTO.06;1;0;0;0
GA004-022;CONECTOR MOTOVENTILADOR NISSAN REF SQ-533 (4);1.71;PZA;200;AUTO.06;1;0;0;0
GA004-023;CONECTOR SENSOR TPS KIA PICANT 2001-F1R 72A (4);1.99;PZA;3;AUTO.06;1;0;0;0
