id;code;name;dpto_code;unit;current_stock;cost_max;photo_url;dpto_id;show;orden;cost_oferta;cost_mayor;cost_min;checked
4282;AUKGAH02-02;PORTA FUSIBLE AT NYLON C/CABLE AWG 14;AUTO.90;PZA;-22;0.905;AUKGAH02-02.jpg;96;t;1;0;0.604;0;f
4283;AUKGA003-17;ARNES PORTA BOMBILLO SEAL BEAM (H4) DE CERAMICA;AUTO.90;PZA;359;1.405;AUKGA003-17.jpg;96;t;1;0;1.307;0;f
4284;AUKGAH03-022;CONECTOR SOCATE H4 EXTENSOR CABLE 14 20CM;AUTO.90;PZA;0;5.2;AUKGAH03-022.jpg;96;t;1;0;1.804;0;f
4285;AUKGAS15-01;CONECTOR 15 VIA SET HEMBRA-MACHO CILINDRICO 2.0;AUTO.90;PZA;20;4.6;AUKGAS15-01.jpg;96;t;1;0;5.657;0;f
4286;AUKGAH05-02;PORTA RELE 5 PINES (2*12+3*18);AUTO.90;PZA;-200;3.16;AUKGAH05-02.jpg;96;t;1;0;1.467;0;f
4287;AUKGA002-142;CONECTOR BOMBA GASOLINA EXTERNA HYUNDAI KIA;AUTO.90;PZA;0;1.693;AUKGA002-142.jpg;96;t;1;0;1.467;0;f
4288;AUKGAH05-10;PORTA-RELE 5 PINES CERAMICA C/CONECTOR (2X14+3X18);AUTO.90;PZA;0;3.16;AUKGAH05-10.jpg;96;t;1;0;2.107;1.599;f
4289;AUKGAS02-08;CONECTOR 2 VIAS ANDERSON CABLE 10;AUTO.90;PZA;0;4.999;AUKGAS02-08.jpg;96;t;1;0;4.499;0;f
4290;AUKGAS02-12;ARNES ANDERSON C/FUSILERA CABLE 8;AUTO.90;PZA;0;14.2;AUKGAS02-12.jpg;96;t;1;0;12.9;0;f
