id;code;name;dpto_code;unit;current_stock;cost_max;photo_url;dpto_id;show;orden;cost_oferta;cost_mayor;cost_min;checked
4319;GA002-113;CONECTOR CARBURADOR 2T4 BOCA SQ-306 (2);AUTO.90;PZA;10;2.585;GA002-113.jpg;96;t;1;0;0;0;f
4320;GA002-114;CONECTOR BOMBA GAS ELECTRICA SQ-499 (2);AUTO.90;PZA;0;2.307;GA002-114.jpg;96;t;1;0;0;0;f
4321;GA002-115;CONECTOR LAMPARE LED 2 ENTRADA SQ921 (2);AUTO.90;PZA;1;2.973;GA002-115.jpg;96;t;1;0;0;0;f
4322;GA002-116;CONECTOR ARNES UNIVERSAL2 F1R-915 (2);AUTO.90;PZA;5;2.973;GA002-116.jpg;96;t;1;0;0;0;f
4323;GA002-117;CONECTOR MOTOR ELECTROVENTILADOR SQ-468 (2);AUTO.90;PZA;10;2.6;GA002-117.jpg;96;t;1;0;0;0;f
4324;GA002-118;CONECTOR VALVULA DE TEMPERATURA SQ-1089 (2);AUTO.90;PZA;0;3.027;GA002-118.jpg;96;t;1;0;0;0;f
4325;GA002-119;SOCATE METAL 2 CONTACTOS F1R-1236 (2);AUTO.90;PZA;5;1.107;GA002-119.jpg;96;t;1;0;0;0;f
4326;GA002-12;SOCATE G.M. PARA BOMBILLO 1073;AUTO.90;PZA;0;2.384;GA002-12.jpg;96;t;1;0;0;0;f
4327;GA002-120;CONECTOR BOMBA GASOLINA ELECTR X719ND (2);AUTO.90;PZA;19;2.347;GA002-120.jpg;96;t;1;0;0;0;f
4328;GA002-121;SOCATE BOMBILLO FARO LUZ CRUCE SQ-1127 (2);AUTO.90;PZA;5;2.307;GA002-121.jpg;96;t;1;0;0;0;f
4329;GA002-122;CONECTOR ALTERN MITSUBISHI KIA FESTIVA BOBINA NISSAN TIPO PISTOLA LM;AUTO.90;PZA;-2;2.48;GA002-122.jpg;96;t;1;0;0;0;f
4330;GA002-123;SOCATE STOP Y CRUCE 2C FORD MO SQ-216 (2);AUTO.90;PZA;3;0.667;GA002-123.jpg;96;t;1;0;0;0;f
4331;GA002-124;CONECTO ALT MITSUBISHI VARIOS SQ-1338 (2);AUTO.90;PZA;0;2.079;GA002-124.jpg;96;t;1;0;0;0;f
4332;GA002-125;CONECTOR MOTOR VENTILADOR 59A-F1 (2);AUTO.90;PZA;0;3.707;GA002-125.jpg;96;t;1;0;0;0;f
4333;GA002-126;SOCATE FARO LUZ CRUCE CARROS A SQ-241 (2);AUTO.90;PZA;134;2.413;GA002-126.jpg;96;t;1;0;2.413;0;f
4334;GA002-127;CONECTOR DISTRIBUIDOR TOYOTA ARAYA COROLLA AVILA;AUTO.90;PZA;0;1.69;GA002-127.jpg;96;t;1;0;1.47;0;f
4335;GA002-128;SOCATE STOP 2C UNIV METAL TIPO SQ-112 (2);AUTO.90;PZA;0;1.947;GA002-128.jpg;96;t;1;0;0;0;f
4336;GA002-129;SOCATE METAL UNIVERSAL 2CONTA SQ-2101 (2);AUTO.90;PZA;0;0.96;GA002-129.jpg;96;t;1;0;0;0;f
4337;GA002-13;SOCATE FORD PARA BOMBILLO 1073;AUTO.90;PZA;4;2.373;GA002-13.jpg;96;t;1;0;0;0;f
4338;GA002-130;INACTIVO..........SOCATE STOP BOMBILLO 3156 1CONTACTO;AUTO.90;PZA;0;0;GA002-130.jpg;96;t;1;0;0;0;f
4339;GA002-131;GAH02-.....CONECTOR SENSOR MASA FLUJO MASA AIR SQ-1804 (2);AUTO.90;PZA;5;0.999;GA002-131.jpg;96;t;1;0;0;0;f
4340;GA002-132;CONECTOR SENSOR ABS TRASERO CHEVROLET CAPTIVA;AUTO.90;PZA;109;1.6;GA002-132.jpg;96;t;1;0;1.413;0;f
4341;GA002-133;PORTA FUSIBLE AT DE GOMA CABLE 16;AUTO.90;PZA;0;1.453;GA002-133.jpg;96;t;1;0;1.28;0;f
4342;GA002-134;CONECTOR INYECTOR FORD EXPLORER / TRITON/ FX4/FORTALEZA/NEON;AUTO.90;PZA;10;4.173;GA002-134.jpg;96;t;1;0;0;0;f
4343;GA002-135;CONECTOR SENSOR VELOCIDAD ABS HONDA TOYOTA TOYOTA CAMRY;AUTO.90;PZA;129;1.053;GA002-135.jpg;96;t;1;0;0.88;0;f
4344;GA002-136;CONECTOR SENSOR ARBOL DE LEVA FORD EXPLORER;AUTO.90;PZA;111;4.813;GA002-136.jpg;96;t;1;0;0;0;f
4345;GA002-137;PORTA FUSIBLE AT DE GOMA CON TAPA CABLE 12;AUTO.90;PZA;-4;1.453;GA002-137.jpg;96;t;1;0;1.051;0;f
4346;GA002-138;CONECTOR SENSOR OXIGENO CHEVR OPTRA TERMOSTATO AVEO;AUTO.90;PZA;191;2.082;GA002-138.jpg;96;t;1;0;0;0;f
4347;GA002-139;CONECTOR BOBINA CENTURY BLAZER CHEYENE DAEWOO (1 LADO);AUTO.90;PZA;82;2.199;GA002-139.jpg;96;t;1;0;0;0;f
4348;GA002-14;CONECTOR SENSOR TEMPERATURA G.M. (GAH02-18);AUTO.90;PZA;1;1.667;GA002-14.jpg;96;t;1;0;1.233;0;f
4349;GA002-140;PORTA FUSIBLE AT IVICA PFN-182;AUTO.90;PZA;60;0.905;GA002-140.jpg;96;t;1;0;0;0;f
4350;GA002-141;CONECTOR SENSOR TEMPERATURA EXPLORER COROLLA HILUX MERU 2P;AUTO.90;PZA;124;2.005;GA002-141.jpg;96;t;1;0;1.671;0;f
4351;GA002-142;CONECTOR BOMBA GASOLINA EXTERNA HYUNDAI KIA;AUTO.90;PZA;0;1.693;GA002-142.jpg;96;t;1;0;1.467;0;f
4352;GA002-15;CONECTOR INYECTOR G.M. CAVALIER/FIESTA (43-6167);AUTO.90;PZA;16;9.107;GA002-15.jpg;96;t;1;0;0;0;f
4353;GA002-16;CONECTOR REGULADOR CHRYSLER;AUTO.90;PZA;0;0;GA002-16.jpg;96;t;1;0;0;0;f
4354;GA002-17;CONECTOR DIODERA FORD 2G;AUTO.90;PZA;10;5.76;GA002-17.jpg;96;t;1;0;0;0;f
4355;GA002-18;GA002-130...SOCATE BOMBILLO 3156 1CONTACTOS 2 CABLES;AUTO.90;PZA;110;5.15;GA002-18.jpg;96;t;1;0;0;0;f
4356;GA002-21;CONECTOR ADAPT CS130 A10.12.27SI ETC;AUTO.90;PZA;0;2.653;GA002-21.jpg;96;t;1;0;0;0;f
4357;GA002-22;CONECTOR BOBINA CENTURY BLAZER CHEYENE DAEWOO (PAR);AUTO.90;PAR;65;2.4;GA002-22.jpg;96;t;1;0;0;0;f
4358;GA002-23;CONECTOR DISTRIBUIDOR GENERAL MOTOR MONZA BOSCH;AUTO.90;PZA;0;4.76;GA002-23.jpg;96;t;1;0;0;0;f
4359;GA002-24;CONECTOR RELE ELECTROVENTILADOR GM CHEVETE MALIBU IMPALA;AUTO.90;PZA;267;3.333;GA002-24.jpg;96;t;1;0;0;0;f
4360;GA002-25;CONECTOR BOMBA GASOLINA F.I. GENERAL MOTOR 3.1/2.8;AUTO.90;PZA;195;0.813;GA002-25.jpg;96;t;1;0;0.68;0;f
4361;GA002-26;CONECTOR AIRE ACONDICIONADO (COMPRESOR) Y RELE (BLOWER);AUTO.90;PZA;0;1.787;GA002-26.jpg;96;t;1;0;0;0;f
4362;GA002-27;ARNES PORTA BOMBILLO 9006 CERAMICA;AUTO.90;PZA;1;1.6;GA002-27.jpg;96;t;1;0;1.507;0;f
4363;GA002-28;CONECTOR VALVULA ACE G.M. 92/87;AUTO.90;PZA;190;1.973;GA002-28.jpg;96;t;1;0;1.64;0;f
4364;GA002-31;SOCATE TABLERO BOMBILLO 158 168 194 2 CONTACTO 5/8;AUTO.90;PZA;160;0.46;GA002-31.jpg;96;t;1;0;0;0;f
4365;GA002-32;ARNES PORTA FUSIBLE AT DE CERAMICA;AUTO.90;PZA;0;1.147;GA002-32.jpg;96;t;1;0;1.167;0;f
4366;GA002-33;PORTA FUSIBLE MAXI CON TAPA;AUTO.90;PZA;0;7.52;GA002-33.jpg;96;t;1;0;0;0;f
4367;GA002-33-1;PORTA FUSIBLE MAXI CON TAPA CABLE#10;AUTO.90;PZA;129;7.52;GA002-33-1.jpg;96;t;1;0;5.467;4.667;f
4368;GA002-33-2;PORTA FUSIBLE MAXI CON TAPA CABLE#8;AUTO.90;PZA;55;7.52;GA002-33-2.jpg;96;t;1;0;5.467;4.667;f
4369;GA002-34;PORTA FUSIBLE MINI;AUTO.90;PZA;0;0.893;GA002-34.jpg;96;t;1;0;0.8;0;f
4370;GA002-38;CONECTOR BOMBILLO H7 BAQUELITA SIN CABLE;AUTO.90;PZA;4;2.733;GA002-38.jpg;96;t;1;0;0;0;f
4371;GA002-41;CONECTOR PARA BOMBA GASOLINA TIPO BOSCH;AUTO.90;PZA;36;2.649;GA002-41.jpg;96;t;1;0;0;0;f
4372;GA002-43;CONECTOR ELECTRO VENTILADOR GM CORSA...GA002-64;AUTO.90;PZA;10;4.158;GA002-43.jpg;96;t;1;0;0;0;f
4373;GA002-44;CONECTOR BOBINA RENAULT MEGANE/KIA;AUTO.90;PZA;227;1.68;GA002-44.jpg;96;t;1;0;1.4;0;f
4374;GA002-45;CONECTOR REGULADOR IM 216 (ALTERNADOR FORD FESTIVA/HYUNDAI);AUTO.90;PZA;0;5.248;GA002-45.jpg;96;t;1;0;0;0;f
4375;GA002-46;CONECTOR SENSOR OXIGENO CHEVROLET OPTRA 2 PINES;AUTO.90;PZA;8;3.024;GA002-46.jpg;96;t;1;0;0;0;f
4376;GA002-47;SOCATE PARA BOMBILLO H7 CERAMICA;AUTO.90;PZA;115;1.48;GA002-47.jpg;96;t;1;0;0.72;0;f
4377;GA002-48;CONECTOR ELECTRO VENTILADOR JEEP CHEROKEE (LADO HEMBRA);AUTO.90;PZA;0;5.2;GA002-48.jpg;96;t;1;0;0;0;f
4378;GA002-50;CONECTOR VALVULA DE TEMPERATURA CHRYSLER/NEON/JEEP;AUTO.90;PZA;0;2.544;GA002-50.jpg;96;t;1;0;0;0;f
4379;GA002-51;CONECTOR INYECTOR GM/AVEO OPTRA;AUTO.90;PZA;5;2.572;GA002-51.jpg;96;t;1;0;0;0;f
4380;GA002-54;SOCATE METAL UNIVERSAL 2 CONTACTO SIN BASE;AUTO.90;PZA;169;0.736;GA002-54.jpg;96;t;1;0;0;0;f
4381;GA002-57;CONECTOR BOBINA CENTURY BLAZER CHEYENE DAEWOO (1 LADO);AUTO.90;PZA;0;1.2;GA002-57.jpg;96;t;1;0;0.867;0;f
4382;GA002-58;CONECTOR INYECTOR CORSA/FESTIVA/CIELO;AUTO.90;PZA;303;3.813;GA002-58.jpg;96;t;1;0;2.5;0;f
4383;GA002-59;CONECTOR REGULADOR ALTERNADOR FORD AVEO BLAZER CORSA OPTRA;AUTO.90;PZA;38;2.627;GA002-59.jpg;96;t;1;0;0;0;f
4384;GA002-60;CONECTORBOMBA DE GASOLINA /*ELECTRO;AUTO.90;PZA;0;2.592;GA002-60.jpg;96;t;1;0;0;0;f
4385;GA002-62;CONECTOR ELECTRO-VENTILADOR FIESTA ECOSPORT (GA001-04);AUTO.90;PZA;124;2.909;GA002-62.jpg;96;t;1;0;0;0;f
4386;GA002-63;CONECTOR ELECTRO VENTILADOR GM/AVEO;AUTO.90;PZA;10;2.98;GA002-63.jpg;96;t;1;0;0;0;f
4387;GA002-64;CONECTOR ELECTRO VENTILADOR GM CORSA...GA002-43;AUTO.90;PZA;-9;1.912;GA002-64.jpg;96;t;1;0;1.467;0;f
4388;GA002-66;CONECTOR INYECTOR NEON/CRYSLER;AUTO.90;PZA;160;2.15;GA002-66.jpg;96;t;1;0;1.8;0;f
4389;GA002-67;CONECTOR ELECTRO VENTILADOR NEON (LADO MACHO);AUTO.90;PZA;9;5.92;GA002-67.jpg;96;t;1;0;0;0;f
4390;GA002-68;CONECTOR ELECTRO VENTILADOR JEEP CHEROKEE COMPLETO;AUTO.90;PZA;0;8.573;GA002-68.jpg;96;t;1;0;0;0;f
4391;GA002-69;CONECTOR ELECTRO VENTIILADOR FORD;AUTO.90;PZA;10;5.984;GA002-69.jpg;96;t;1;0;0;0;f
4392;GA002-70;CONECTOR ELECTRO VENTIILADOR;AUTO.90;PZA;165;1.92;GA002-70.jpg;96;t;1;0;1.6;0;f
4393;GA002-71;CONECTOR INYECTOR TOYOTA;AUTO.90;PZA;125;2.092;GA002-71.jpg;96;t;1;0;1.744;0;f
4394;GA002-72;CONECTOR ELECTRONICO/VENT VW GOL;AUTO.90;PZA;0;1.853;GA002-72.jpg;96;t;1;0;0;0;f
4395;GA002-73;CONECTOR BOMBILLO 9005 CERAMICA;AUTO.90;PZA;253;2.227;GA002-73.jpg;96;t;1;0;0;0;f
4396;GA002-75;CONECTOR SOCATE BOMBILLO H8/H11 CERAMICA;AUTO.90;PZA;27;2.227;GA002-75.jpg;96;t;1;0;0;0;f
4397;GA002-76;CONECTOR VALVULA ELECTRO VENTILADOR SWIFT;AUTO.90;PZA;0;2.347;GA002-76.jpg;96;t;1;0;0;0;f
4398;GA002-78;CONECTOR BOBINA AVEO SPARK;AUTO.90;PZA;34;2.15;GA002-78.jpg;96;t;1;0;1.94;0;f
4399;GA002-80;SOCATE PORTABOBILLO 1 CONTACTO 1073;AUTO.90;PZA;0;2.307;GA002-80.jpg;96;t;1;0;0;0;f
4400;GA002-81;CONECTOR ALT FORD F250 F350 (CON-08157) ( SQ-484);AUTO.90;PZA;18;3.333;GA002-81.jpg;96;t;1;0;0;0;f
