code;name;cost_max;unit;current_stock;dpto_code;orden;cost_oferta;cost_mayor;cost_min
UD-103;"BOCINA SUPER KOOL 18""/PATON CILINDRICA CON PESTAÑA DELANTERA (589)";0.4;PZA;0;AUTO.30;1;0;0;0
UD-104;"BOCINA 12"" Y 16"" NUEVOS Y MOULINEX ESFERICA (556)";0.4;PZA;0;AUTO.30;1;0;0;0
UD-105;BOCINA OSTER (510);0.4;PZA;0;AUTO.30;1;0;0;0
UD-106;BOCINA MOULINEX (511);0.4;PZA;0;AUTO.30;1;0;0;0
UD-107;BOCINA CORTA PHILCO (512);0.4;PZA;0;AUTO.30;1;0;0;0
UD-108;BOCINA FORD DELANTERA (3117);0.4;PZA;0;AUTO.30;1;0;0;0
UD-109;BOCINA CHRYSLER TRASERA (5234);0.4;PZA;0;AUTO.30;1;0;0;0
UD-11;BOCINA BOSCH EBRO/VOLVO/FIAT DELANTERA;0.4;PZA;0;AUTO.30;1;0;0;0
UD-110;BOCINA FORD (DEL REY/CORCEL) RENAULT 12 (4375);0.4;PZA;0;AUTO.30;1;0;0;0
UD-111;BOCINA CHRYSLER DELANTERA (5254);0.4;PZA;0;AUTO.30;1;0;0;0
UD-112;BOCINA BOSCH/FEMSA/FIAT/FORD/RENAULT TRASERA (12);0.4;PZA;0;AUTO.30;1;0;0;0
UD-113;BOCINA BOSCH DELANTERA (13);0.4;PZA;0;AUTO.30;1;0;0;0
UD-114;BOCINA DELCO REMY 5/8/25 MT/DELTA/GM TRASERA (4200-1X);0.4;PZA;0;AUTO.30;1;0;0;0
UD-115;BOCINA DELCO REMY 40/50 MT/MACK DELANTERA (4336);0.4;PZA;0;AUTO.30;1;0;0;0
UD-116;BOCINA DELCO REMY 30/35/37/ MT TRASERA (4328);0.4;PZA;0;AUTO.30;1;0;0;0
UD-117;BOCINA NISSAN/DATSUN INTERNA (4346);0.4;PZA;0;AUTO.30;1;0;0;0
UD-118;BOCINA CHRYSLER (4370);0.4;PZA;0;AUTO.30;1;0;0;0
UD-119;BOCINA ARRANQUE FORD DELANTERA (4245);0.4;PZA;0;AUTO.30;1;0;0;0
UD-12;BOCINA BOSCH/FBK/PEGASO DELANTERA;0.4;PZA;0;AUTO.30;1;0;0;0
UD-120;BOCINA FORD (4374);0.4;PZA;0;AUTO.30;1;0;0;0
UD-121;"BOCINA FM 12"" Y 16"" (CILINDRICA CON PESTAÑA) (513)";0.4;PZA;0;AUTO.30;1;0;0;0
UD-122;"BOCINA 5/8"" CILINDRICA (515)";0.4;PZA;0;AUTO.30;1;0;0;0
UD-123;BOCINA CORTA ISANOVA/WHISPOOL (519);0.4;PZA;0;AUTO.30;1;0;0;0
UD-124;BOCINA LARGA ISANOVA/WHIRPOOL (520);0.4;PZA;0;AUTO.30;1;0;0;0
UD-125;"BOCINA 1/2"" CORTA (521)";0.4;PZA;0;AUTO.30;1;0;0;0
UD-126;BOCINA AUTOMOTRIZ ARRANQUE CHEVROLET TRASERA (4200);0.4;PZA;0;AUTO.30;1;0;0;0
UD-127;"BOCINA SANYO 12"" CILINDRICA (523)";0.4;PZA;0;AUTO.30;1;0;0;0
UD-128;"BOCINA FM 16"" VIEJO (CILIINDRICA CON PESTAÑA) (524)";0.4;PZA;0;AUTO.30;1;0;0;0
UD-129;BOCINA HAMILTON BEACH (525);0.4;PZA;0;AUTO.30;1;0;0;0
UD-13;BOCINA BOSCH/FBK/PEGASO TRASERA;0.4;PZA;0;AUTO.30;1;0;0;0
UD-130;BOCINA CEPILLO ELECTROLUX (528);0.4;PZA;0;AUTO.30;1;0;0;0
UD-131;BOCINA OSTER GRANDE (529);0.4;PZA;0;AUTO.30;1;0;0;0
UD-132;BOCINA MOTOR SOLANO (SIN CUELLO) (532);0.4;PZA;0;AUTO.30;1;0;0;0
UD-133;BOCINA ZAPATA GENERAL ELECTRIC (538);0.4;PZA;0;AUTO.30;1;0;0;0
UD-134;BOCINA GENERAL ELECTRIC (TAMBIEN PARA CAMISAS) (539);0.4;PZA;0;AUTO.30;1;0;0;0
UD-135;"BOCINA 5/8"" CILINDRICA CON VENTANA (541)";0.4;PZA;0;AUTO.30;1;0;0;0
UD-136;"BOCINA 1/2"" CORTA CON VENTANA (542)";0.4;PZA;0;AUTO.30;1;0;0;0
UD-137;BOCINA KDK (GRANDE) (CILINDRICA) (547);0.4;PZA;0;AUTO.30;1;0;0;0
UD-138;"BOCINA TAURUS 12"" (ESFERICA CON CUELLO) (548)";0.4;PZA;0;AUTO.30;1;0;0;0
UD-139;"BOCINA TAURUS 16"" Y SANYO 16"" ESFERICA C/CUELLO (549)";0.4;PZA;0;AUTO.30;1;0;0;0
UD-14;CARBON PARA ALTERNADOR NIPPON DENSO TOYOTA;0.4;PZA;0;AUTO.08;1;0;0;0
UD-140;"BOCINA OSCILADOR FM 12"" Y 16"" (553)";0.4;PZA;0;AUTO.30;1;0;0;0
UD-141;"BOCINA 1/2"" LARGA CON VENTANA (555)";0.4;PZA;0;AUTO.30;1;0;0;0
UD-144;"BOCINA SUPER KOOL 18"" PATON CILINDRICA CON PESTAÑA DELANTERA (589-B)";0.4;PZA;0;AUTO.30;1;0;0;0
UD-145;BOCINA SAMURAI (CORTA) (559);0.4;PZA;0;AUTO.30;1;0;0;0
UD-146;BOCINA SAMURAI / BLACK & DECKER (506);0.4;PZA;0;AUTO.30;1;0;0;0
UD-148;BOCINA MOTOR ELECTROLUX (562);0.4;PZA;0;AUTO.30;1;0;0;0
UD-149;BOCINA SKIL N 4235 (611);0.4;PZA;0;AUTO.30;1;0;0;0
UD-15;BOCINA CHRISLER TRASERA;0.4;PZA;0;AUTO.30;1;0;0;0
UD-150;"BOCINA SUPER KOOL 18"" / PATON ESFERICA TRASERA";0.4;PZA;0;AUTO.30;1;0;0;0
UD-157;BOCINA ISANOVA/WHIRPOOL (534-B);0.4;PZA;0;AUTO.30;1;0;0;0
UD-158;BOCINA ISANOVA/WHIRPOOL (535-B);0.4;PZA;0;AUTO.30;1;0;0;0
UD-159;BOCINA GENERAL ELECTRIC (LARGO DE 35MM) (537-B);0.4;PZA;0;AUTO.30;1;0;0;0
UD-16;BOCINA NISSAN/DATSUN/ISUZU/CARIIBE DELANTERA (8642);0.4;PZA;0;AUTO.30;1;0;0;0
